Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2021Q3,LIV ON WILKIE,9,3.21,4.74,5.51
2021Q3,LIVIA,18,2.3,2.38,2.57
2021Q3,LOFT @ NATHAN,10,4.11,4.78,4.97
2021Q3,LOFT@HOLLAND,10,6.02,7.91,8.85
2021Q3,LOTUS AT JOO CHIAT,15,3.43,3.9,4.26
2021Q3,LOTUS AT PAYA LEBAR (EAST WING),14,3.23,4.74,5.19
2021Q3,LOYANG VALLEY,17,1.6,1.75,1.83
2021Q3,LUMA,9,3.69,4.04,4.19
2021Q3,LUMIERE,2,4.5,4.64,4.84
2021Q3,M66,12,3.24,3.64,3.78
2021Q3,MANDALE HEIGHTS,11,3.04,3.27,3.44
2021Q3,MANDARIN GARDENS,15,2.23,2.47,2.97
2021Q3,MAPLE WOODS,21,2.64,2.85,3.13
2021Q3,MARINA BAY RESIDENCES,1,5.06,5.49,5.99
2021Q3,MARINA BAY SUITES,1,4.15,4.38,4.54
2021Q3,MARINA ONE RESIDENCES,1,4.8,5.07,5.32
2021Q3,MARTIN MODERN,9,6.22,6.47,7.13
2021Q3,MARTIN NO 38,9,5.58,5.84,6.26
2021Q3,MARTIN PLACE RESIDENCES,9,4.47,4.72,5.03
2021Q3,MAYSPRINGS,23,2.12,2.42,2.69
2021Q3,MEADOWS @ PEIRCE,26,2.13,2.3,2.67
2021Q3,MELROSE PARK,10,3.52,3.61,3.8
2021Q3,MELVILLE PARK,18,2.31,2.45,2.56
2021Q3,MERAPRIME,3,4.14,4.65,4.87
2021Q3,MI CASA,23,2.23,2.34,2.5
2021Q3,MIDTOWN RESIDENCES,19,3.2,3.56,3.98
2021Q3,MILLAGE,14,3.89,4.44,4.7
2021Q3,MIRAGE TOWER,9,2.98,3.89,4.38
2021Q3,MIRO,11,3.06,3.29,3.46
2021Q3,MON JERVOIS,10,4.21,4.38,4.54
2021Q3,MONTEBLEU,11,3.48,3.72,3.97
2021Q3,MONTEREY PARK CONDOMINIUM,5,2.59,2.69,2.93
2021Q3,MY MANHATTAN,18,3.28,3.72,4.11
2021Q3,NASSIM REGENCY,10,4.34,4.53,4.66
2021Q3,NATHAN RESIDENCES,10,4.23,4.41,4.62
2021Q3,NATURA@HILLVIEW,23,3.5,3.69,4.04
2021Q3,NEPTUNE COURT,15,1.83,1.96,2.27
2021Q3,NEWEST,5,3.49,4.07,4.33
2021Q3,NEWTON EDGE,9,3.56,3.99,4.54
2021Q3,NEWTON GEMS,11,3.43,3.58,3.81
2021Q3,NEWTON SUITES,11,4.52,4.61,4.77
2021Q3,NIN RESIDENCE,13,3.0,3.31,3.87
2021Q3,NINE RESIDENCES,27,2.99,3.1,3.5
2021Q3,NINETEEN SHELFORD ROAD,11,3.02,3.25,3.5
2021Q3,NORTH PARK RESIDENCES,27,3.53,3.99,4.29
2021Q3,NORTHVALE,23,2.02,2.21,2.38
2021Q3,NOTTINGHILL SUITES,21,3.94,4.33,4.77
2021Q3,NOUVEL 18,10,5.08,5.38,5.56
2021Q3,NOVENA COURT,11,3.02,3.05,3.25
2021Q3,NOVENA REGENCY,11,4.62,4.78,5.0
2021Q3,NOVENA SUITES,11,3.77,3.89,4.06
2021Q3,NV RESIDENCES,18,2.45,2.7,3.1
2021Q3,OASIS @ ELIAS,18,2.22,2.35,2.49
2021Q3,OCEAN PARK,15,2.43,2.49,2.73
2021Q3,OKIO,12,4.1,4.43,4.84
2021Q3,OLEANAS RESIDENCE,9,2.97,3.12,3.36
2021Q3,OLEANDER TOWERS,12,2.67,2.88,3.0
2021Q3,ONE AMBER,15,3.16,3.45,3.82
2021Q3,ONE BALMORAL,10,4.42,4.65,4.87
2021Q3,ONE DEVONSHIRE,9,4.91,5.35,5.67
2021Q3,ONE DUSUN RESIDENCES,12,3.68,4.05,4.38
2021Q3,ONE JERVOIS,10,3.72,3.94,4.05
2021Q3,ONE LEICESTER,13,2.71,2.92,3.06
2021Q3,ONE OXLEY RISE,9,3.51,4.03,4.28
2021Q3,ONE SHENTON,1,4.07,4.32,5.03
2021Q3,ONE-NORTH RESIDENCES,5,3.92,4.2,4.53
2021Q3,OPTIMA @ TANAH MERAH,16,2.92,3.36,4.13
2021Q3,ORANGE GROVE RESIDENCES,10,3.33,3.42,3.77
2021Q3,ORCHARD SCOTTS,9,4.03,4.24,4.78
2021Q3,ORCHID PARK CONDOMINIUM,27,2.13,2.26,2.39
2021Q3,OUE TWIN PEAKS,9,5.61,5.97,6.15
2021Q3,PALM GARDENS,23,2.05,2.1,2.24
2021Q3,PALM ISLES,17,2.62,3.1,3.48
2021Q3,PANDAN VALLEY,21,1.87,2.14,2.39
2021Q3,PARC CENTROS,19,2.68,3.24,4.08
2021Q3,PARC ELEGANCE,15,3.67,4.08,4.41
2021Q3,PARC EMILY,9,4.05,4.3,4.82
2021Q3,PARC HAVEN,12,2.65,3.34,3.57
2021Q3,PARC IMPERIAL,5,4.89,5.46,5.6
2021Q3,PARC MONDRIAN,13,2.77,2.9,3.21
2021Q3,PARC OASIS,22,2.32,2.48,2.69
2021Q3,PARC OLYMPIA,17,2.42,2.64,3.11
2021Q3,PARC PALAIS,21,2.02,2.15,2.32
2021Q3,PARC RIVIERA,5,3.73,4.22,4.65
2021Q3,PARC ROSEWOOD,25,3.44,3.76,4.18
2021Q3,PARC SOPHIA,9,3.75,4.1,4.37
2021Q3,PARC VERA,19,2.54,2.67,3.08
2021Q3,PARC VISTA,22,2.22,2.4,2.64
2021Q3,PARK EAST,15,2.19,2.3,2.62
2021Q3,PARK INFINIA AT WEE NAM,11,4.3,4.49,4.81
2021Q3,PARK NATURA,23,2.26,2.58,2.65
2021Q3,PARK PLACE RESIDENCES AT PLQ,14,5.09,5.37,5.54
2021Q3,PARKSHORE,15,2.33,2.52,2.81
2021Q3,PARKVIEW APARTMENTS,23,2.16,2.27,2.35
2021Q3,PARVIS,10,3.86,4.04,4.35
2021Q3,PASTORAL VIEW,11,3.6,4.35,4.43
2021Q3,PATENT PLACE,21,2.2,2.33,2.41
2021Q3,PATERSON SUITES,9,3.98,4.21,4.36
2021Q3,PAVILION 11,11,3.1,3.41,3.55
2021Q3,PAYA LEBAR RESIDENCES,14,2.65,2.98,3.3
2021Q3,PEBBLE BAY,15,3.12,3.22,3.47
2021Q3,PEOPLE'S PARK COMPLEX,1,3.42,3.89,4.16
2021Q3,PINEWOOD GARDENS,10,2.56,2.83,3.15
2021Q3,PINNACLE 16,12,3.72,3.96,4.0
2021Q3,POLLEN & BLEU,10,4.21,4.43,4.86
2021Q3,PRESTIGE HEIGHTS,12,4.65,4.99,5.49
2021Q3,PRINCIPAL GARDEN,3,4.74,4.97,5.37
2021Q3,Q BAY RESIDENCES,18,2.77,3.1,3.51
2021Q3,QUEENS,3,3.29,3.55,3.89
2021Q3,QUEENS PEAK,3,4.82,5.28,5.66
2021Q3,QUESTA @ DUNMAN,15,3.52,3.78,4.41
2021Q3,RAFFLESIA CONDOMINIUM,20,2.8,2.99,3.17
2021Q3,REFLECTIONS AT KEPPEL BAY,4,3.98,4.31,4.62
2021Q3,REGENCY PARK,10,2.75,2.92,3.11
2021Q3,REGENT GROVE,23,2.05,2.23,2.38
2021Q3,REGENT HEIGHTS,23,2.19,2.27,2.39
2021Q3,REGENT PARK,5,2.73,2.92,3.07
2021Q3,REGENT RESIDENCES,12,3.33,3.63,4.65
2021Q3,REGENTVILLE,19,2.26,2.31,2.45
2021Q3,REIGNWOOD HAMILTON SCOTTS,9,4.17,4.36,4.7
2021Q3,RESIDENCES @ EVELYN,11,3.6,3.85,3.9
2021Q3,REZI 26,14,3.52,3.98,4.2
2021Q3,REZI 3TWO,14,3.83,4.03,4.42
2021Q3,RICHMOND PARK,9,3.53,3.81,3.95
2021Q3,RIDGEWOOD,10,2.16,2.4,2.51
2021Q3,RIO VISTA,19,2.09,2.18,2.39
2021Q3,RIPPLE BAY,18,2.75,3.1,3.51
2021Q3,RIS GRANDEUR,18,1.98,2.18,2.35
2021Q3,RITZ MANSIONS,12,2.38,2.5,2.76
2021Q3,RIVER ISLES,19,2.24,2.33,2.58
2021Q3,RIVER PLACE,3,3.57,3.82,4.04
2021Q3,RIVERBANK @ FERNVALE,28,2.67,2.96,3.24
2021Q3,RIVEREDGE,15,3.37,3.55,3.69
2021Q3,RIVERGATE,9,4.45,4.72,4.9
2021Q3,RIVERSAILS,19,2.52,2.86,3.48
2021Q3,RIVERSIDE 48,9,3.54,3.67,3.79
2021Q3,RIVERSOUND RESIDENCE,19,2.51,2.75,3.21
2021Q3,RIVERTREES RESIDENCES,28,2.91,3.02,3.42
2021Q3,RIVERVALE CREST,19,1.97,2.09,2.42
2021Q3,RIVERWALK APARTMENTS,1,3.16,3.5,3.89
2021Q3,ROBERTSON 100,9,3.89,4.13,4.33
2021Q3,ROBERTSON EDGE,9,5.14,5.34,5.72
2021Q3,ROBIN RESIDENCES,10,4.39,4.82,5.52
2021Q3,ROBIN SUITES,10,5.37,5.54,5.88
2021Q3,ROBINSON SUITES,1,5.34,5.53,5.65
2021Q3,ROCHELLE AT NEWTON,11,3.72,4.0,4.17
2021Q3,ROSEWOOD,25,1.88,2.22,2.32
2021Q3,RV EDGE,10,5.07,5.57,6.01
2021Q3,RV RESIDENCES,10,4.68,5.42,5.96
2021Q3,RV SUITES,10,4.38,4.74,4.96
2021Q3,SANCTUARY GREEN,15,2.83,3.07,3.24
2021Q3,SANT RITZ,13,3.45,3.85,4.39
2021Q3,SAVANNAH CONDOPARK,18,2.24,2.36,2.62
2021Q3,SCOTTS 28,9,3.41,3.49,3.6
2021Q3,SCOTTS SQUARE,9,6.02,6.41,6.97
2021Q3,SEA ESTA,18,2.71,2.76,3.1
2021Q3,SEAHILL,5,3.72,3.99,4.39
2021Q3,SEASCAPE,4,3.88,4.1,4.3
2021Q3,SEASIDE RESIDENCES,15,4.57,4.94,5.14
2021Q3,SEASONS VIEW,20,2.47,2.73,2.83
2021Q3,SEASTRAND,18,2.61,2.88,3.13
2021Q3,SEASUITES,5,3.48,3.69,4.06
2021Q3,SELETAR PARK RESIDENCE,28,2.65,2.92,3.31
2021Q3,SELETARIS,27,1.68,1.91,2.03
2021Q3,SENNETT ESTATE,13,1.59,2.38,2.71
2021Q3,SENNETT RESIDENCE,13,3.42,3.76,4.0
2021Q3,SEVENTY SAINT PATRICK'S,15,3.56,3.61,3.88
2021Q3,SHERWOOD TOWER,21,1.72,2.01,2.35
2021Q3,SIGLAP V,15,2.86,3.48,3.77
2021Q3,SIGNATURE PARK,21,2.04,2.23,2.46
2021Q3,SILVERSCAPE,14,3.81,3.94,4.25
2021Q3,SILVERSEA,15,3.88,4.13,4.43
2021Q3,SIMS URBAN OASIS,14,4.07,4.49,4.86
2021Q3,SIMSVILLE,14,2.71,2.81,3.08
2021Q3,SIXTEEN35 RESIDENCES,14,4.44,4.5,4.82
2021Q3,SKIES MILTONIA,27,2.35,2.68,3.22
2021Q3,SKY GREEN,13,3.32,4.04,4.33
2021Q3,SKY HABITAT,20,3.37,3.58,3.78
2021Q3,SKY VUE,20,3.97,4.21,4.6
2021Q3,SKY@ELEVEN,11,3.43,3.53,3.74
2021Q3,SKYLINE RESIDENCES,4,3.83,4.34,4.83
2021Q3,SKYSUITES17,12,4.17,4.48,5.1
2021Q3,SKYSUITES@ANSON,2,5.96,6.53,7.03
2021Q3,SMART SUITES,14,3.31,3.98,4.64
2021Q3,SOLEIL @ SINARAN,11,4.65,4.9,5.3
2021Q3,SOMMERVILLE PARK,10,2.92,3.14,3.34
2021Q3,SOPHIA HILLS,9,4.47,4.94,5.26
2021Q3,SOPHIA RESIDENCE,9,3.7,3.81,4.15
2021Q3,SOUTHAVEN II,21,1.95,2.14,2.23
2021Q3,SOUTHBANK,7,4.23,4.45,4.98
2021Q3,SPACE @ KOVAN,19,3.26,3.55,4.29
2021Q3,SPANISH VILLAGE,10,2.37,2.62,2.81
2021Q3,SPAZIO @ KOVAN,19,3.3,3.7,4.45
2021Q3,SPOTTISWOODE 18,2,4.91,5.68,5.94
2021Q3,SPOTTISWOODE PARK,2,2.36,2.94,3.06
2021Q3,SPOTTISWOODE RESIDENCES,2,4.4,4.73,4.9
2021Q3,SPOTTISWOODE SUITES,2,4.99,5.75,5.95
2021Q3,SPRING GROVE,10,3.17,3.46,3.72
2021Q3,SPRINGDALE CONDOMINIUM,21,2.33,2.46,2.68
2021Q3,ST REGIS RESIDENCES SINGAPORE,10,3.77,4.02,4.49
2021Q3,ST THOMAS SUITES,9,4.07,4.27,4.47
2021Q3,STARLIGHT SUITES,9,3.81,4.13,4.59
2021Q3,STARS OF KOVAN,19,4.02,4.1,4.24
2021Q3,STARVILLE,14,2.26,2.41,2.68
2021Q3,STELLAR RV,10,4.27,4.45,4.72
2021Q3,STRATA,11,3.28,3.42,4.74
2021Q3,STRATUM,18,2.9,3.1,3.4
2021Q3,STURDEE RESIDENCES,8,4.77,5.07,5.72
2021Q3,SUI GENERIS,10,3.96,4.1,4.32
2021Q3,SUITES 28,14,2.08,3.73,4.16
2021Q3,SUITES @ CAIRNHILL,9,4.26,4.44,4.8
2021Q3,SUITES @ EASTCOAST,15,3.99,4.51,4.9
2021Q3,SUITES @ GUILLEMARD,15,3.6,3.87,4.32
2021Q3,SUITES @ PAYA LEBAR,19,4.14,4.29,4.65
2021Q3,SUITES AT BUKIT TIMAH,21,4.36,4.65,4.8
2021Q3,SUITES AT ORCHARD,9,4.41,5.29,6.24
2021Q3,SUITES@BRADDELL,13,4.11,4.31,4.58
2021Q3,SUMMERHILL,21,2.23,2.37,2.68
2021Q3,SUNGLADE,19,2.76,2.87,3.03
2021Q3,SUNHAVEN,16,2.03,2.24,2.44
2021Q3,SUNSHINE PLAZA,7,3.13,3.8,3.95
2021Q3,SYMPHONY HEIGHTS,21,2.27,2.43,2.59
2021Q3,SYMPHONY SUITES,27,2.83,3.05,3.32
2021Q3,TANAMERA CREST,16,2.07,2.39,2.39
2021Q3,TANGLIN PARK,10,3.19,3.43,3.67
2021Q3,TANGLIN REGENCY,10,3.41,3.53,3.84
2021Q3,TANGLIN VIEW,3,3.21,3.42,3.6
2021Q3,TANJONG RIA CONDOMINIUM,15,2.43,2.7,2.83
2021Q3,TERESA VILLE,4,1.81,2.11,2.35
2021Q3,TERRASSE,19,2.75,2.9,3.19
2021Q3,TERRENE AT BUKIT TIMAH,21,2.89,3.02,3.19
2021Q3,TEXTILE CENTRE,7,2.95,3.17,3.26
2021Q3,THE ALPS RESIDENCES,18,3.41,3.79,4.32
2021Q3,THE ANCHORAGE,3,2.57,2.73,2.91
2021Q3,THE ARC AT DRAYCOTT,10,4.33,4.37,4.68
2021Q3,THE ARCADIA,11,2.24,2.36,2.45
2021Q3,THE ARTE,12,2.63,2.74,3.07
2021Q3,THE ATRIA AT MEYER,15,2.58,2.79,2.87
2021Q3,THE BAYRON,9,4.0,4.36,4.76
2021Q3,THE BAYSHORE,16,2.43,2.58,2.79
2021Q3,THE BEACON,2,3.78,3.97,4.07
2021Q3,THE BELVEDERE,15,3.18,3.31,3.56
2021Q3,THE BENCOOLEN,7,3.82,3.89,4.06
2021Q3,THE BERTH BY THE COVE,4,3.18,3.47,3.69
2021Q3,THE BLOSSOMVALE,21,2.67,2.77,3.1
2021Q3,THE BOUTIQ,9,4.45,4.99,5.48
2021Q3,THE CAIRNHILL,9,2.38,2.42,2.45
2021Q3,THE CALROSE,26,2.24,2.39,2.5
2021Q3,THE CAPE,15,4.3,4.56,4.6
2021Q3,THE CASCADIA,21,3.35,3.54,3.64
2021Q3,THE CATHAY RESIDENCE,9,4.53,4.79,4.99
2021Q3,THE CENTREPOINT,9,3.0,3.57,4.45
2021Q3,THE CENTRIS,22,3.1,3.27,3.57
2021Q3,THE CHUAN,19,3.13,3.5,3.81
2021Q3,THE CLAYMORE,9,3.28,3.59,4.1
2021Q3,THE CLEARWATER,16,2.36,2.68,2.93
2021Q3,THE CLEMENT CANOPY,5,4.03,4.26,4.65
2021Q3,THE CLIFT,1,5.42,5.67,6.06
2021Q3,THE COAST AT SENTOSA COVE,4,3.43,3.61,3.81
2021Q3,THE COLONNADE,10,3.31,3.52,3.68
2021Q3,THE CORNWALL,10,3.29,3.96,4.41
2021Q3,THE COSMOPOLITAN,9,4.41,4.53,4.65
2021Q3,THE CREEK @ BUKIT,21,3.02,3.88,4.54
2021Q3,THE CREST,3,4.35,4.73,5.02
2021Q3,THE DAIRY FARM,23,1.84,1.98,2.19
2021Q3,THE ESTA,15,3.27,3.43,3.76
2021Q3,THE ESTRELLA,5,2.73,2.96,3.08
2021Q3,THE ESTUARY,27,2.39,2.59,2.78
2021Q3,THE FORD @ HOLLAND,10,4.22,4.75,5.4
2021Q3,THE FORESTA @ MOUNT FABER,4,3.78,4.63,5.34
2021Q3,THE GALE,17,2.3,2.47,2.63
2021Q3,THE GARDEN RESIDENCES,19,4.55,4.85,5.16
2021Q3,THE GARDENS AT BISHAN,20,2.45,2.65,2.9
2021Q3,THE GLADES,16,3.69,4.05,4.39
2021Q3,THE GLYNDEBOURNE,11,3.55,3.86,4.07
2021Q3,THE GREENWICH,28,2.72,3.07,3.48
2021Q3,THE HACIENDA,15,2.07,2.32,2.37
2021Q3,THE HILLFORD,21,4.27,4.52,4.77
2021Q3,THE HILLIER,23,3.49,3.68,3.9
2021Q3,THE HILLSIDE,21,2.1,2.26,2.4
2021Q3,THE HORIZON,10,2.92,2.98,3.16
2021Q3,THE IMPERIAL,9,4.2,4.44,4.73
2021Q3,THE INFINITI,5,2.51,2.58,2.71
2021Q3,THE INFLORA,17,2.69,3.46,3.67
2021Q3,THE INSPIRA,9,4.31,4.54,4.72
2021Q3,THE INTERLACE,4,3.21,3.53,3.89
2021Q3,THE INTERWEAVE,12,3.9,4.7,5.13
2021Q3,THE JADE,23,2.61,2.94,3.08
2021Q3,THE LAKEFRONT RESIDENCES,22,3.29,3.6,4.16
2021Q3,THE LAKESHORE,22,2.86,2.98,3.16
2021Q3,THE LANAI,23,2.78,2.9,2.97
2021Q3,THE LAURELS,9,5.25,5.42,5.74
2021Q3,THE LENOX,14,4.18,4.3,4.79
2021Q3,THE LEVELZ,10,3.32,3.55,3.8
2021Q3,THE LINE @ TANJONG RHU,15,3.6,3.96,5.18
2021Q3,THE LOFT,10,4.17,4.4,4.63
2021Q3,THE LUXURIE,19,2.87,3.1,3.35
2021Q3,THE MADEIRA,23,2.21,2.34,2.48
2021Q3,THE MAKENA,15,2.54,2.77,2.92
2021Q3,THE MARBELLA,10,3.34,3.38,3.52
2021Q3,THE MAYFAIR,22,2.64,2.78,3.32
2021Q3,THE MERASAGA,10,3.65,4.04,4.16
2021Q3,THE METROPOLITAN CONDOMINIUM,3,3.2,3.57,3.98
2021Q3,THE METZ,9,5.33,5.76,6.41
2021Q3,THE MEYERISE,15,3.59,4.01,4.24
2021Q3,THE MEZZO,12,3.22,3.61,3.77
2021Q3,THE MILTONIA RESIDENCES,27,2.36,2.56,2.96
2021Q3,THE MINTON,19,2.55,2.8,3.07
2021Q3,THE MONTANA,10,3.59,3.89,4.0
2021Q3,THE NAUTICAL,27,2.63,2.77,3.17
2021Q3,THE NEXUS,21,3.17,3.4,3.83
2021Q3,THE OCEANFRONT @ SENTOSA COVE,4,3.72,3.95,4.38
2021Q3,THE ORCHARD RESIDENCES,9,5.85,6.39,7.0
2021Q3,THE PALETTE,18,2.69,2.92,3.13
2021Q3,THE PANORAMA,20,3.23,3.65,4.24
2021Q3,THE PARC CONDOMINIUM,5,2.89,3.03,3.27
2021Q3,THE PATERSON,9,3.77,3.91,4.1
2021Q3,THE PATERSON EDGE,9,4.05,4.14,4.25
2021Q3,THE PEAK @ CAIRNHILL I,9,4.5,4.72,4.74
2021Q3,THE PEAK @ CAIRNHILL II,9,4.07,4.34,4.46
2021Q3,THE PEAK@BALMEG,5,2.98,3.05,3.42
2021Q3,THE PEARL @ MOUNT FABER,4,2.81,2.92,2.99
2021Q3,THE PIER AT ROBERTSON,9,4.49,4.87,5.16
2021Q3,THE PLAZA,7,2.72,3.28,3.55
2021Q3,THE POIZ RESIDENCES,13,4.49,5.0,5.44
2021Q3,THE PROMENADE@PELIKAT,19,2.6,3.51,3.91
2021Q3,THE QUARTZ,19,2.37,2.72,2.85
2021Q3,THE QUINN,19,3.25,3.55,3.75
2021Q3,THE RAINTREE,21,2.43,2.59,2.67
2021Q3,THE RESIDENCES AT W SINGAPORE SENTOSA COVE,4,4.33,4.51,4.61
2021Q3,THE RISE @ OXLEY - RESIDENCES,9,4.91,5.18,5.41
2021Q3,THE ROCHESTER RESIDENCES,5,3.49,3.84,4.14
2021Q3,THE SAIL @ MARINA BAY,1,4.57,4.9,5.33
2021Q3,THE SANTORINI,18,3.09,3.48,3.61
2021Q3,THE SCALA,19,3.42,3.64,3.85
2021Q3,THE SCOTTS TOWER,9,4.85,5.13,5.79
2021Q3,THE SEA VIEW,15,3.55,3.8,4.03
2021Q3,THE SEAFRONT ON MEYER,15,3.11,3.24,3.44
2021Q3,THE SEAWIND,15,3.6,3.74,3.99
2021Q3,THE SHELFORD,11,3.61,3.82,4.24
2021Q3,THE SHORE RESIDENCES,15,3.87,4.09,4.39
2021Q3,THE SIERRA,10,2.59,2.81,3.55
2021Q3,THE SIXTH AVENUE RESIDENCES,10,3.02,3.49,3.61
2021Q3,THE SKYWOODS,23,3.17,3.52,3.98
2021Q3,THE SORRENTO,5,4.28,4.7,5.22
2021Q3,THE SOUND,15,3.52,3.58,3.74
2021Q3,THE SPRINGBLOOM,19,2.61,2.86,3.04
2021Q3,THE STELLAR,5,3.13,3.21,3.55
2021Q3,THE STERLING,21,2.53,2.72,2.93
2021Q3,THE SUITES AT CENTRAL,9,4.67,5.4,5.72
2021Q3,THE SUNNY SPRING,14,2.42,2.51,2.77
2021Q3,THE TANAMERA,16,1.96,2.24,2.3
2021Q3,THE TAPESTRY,18,4.15,4.48,4.84
2021Q3,THE TATE RESIDENCES,9,4.15,4.3,4.43
2021Q3,THE TEMBUSU,19,3.35,3.71,4.41
2021Q3,THE TENNERY,23,3.0,3.28,3.46
2021Q3,THE TESSARINA,10,2.8,3.05,3.15
2021Q3,THE TRILINQ,5,3.54,4.08,4.49
2021Q3,THE TRILLIUM,9,3.78,4.17,4.5
2021Q3,THE TRIZON,10,3.26,3.4,3.56
2021Q3,THE TROPICA,18,2.22,2.42,2.51
2021Q3,THE TRUMPS,14,2.34,2.63,3.06
2021Q3,THE VENUE RESIDENCES,13,3.28,3.53,3.65
2021Q3,THE VERMONT ON CAIRNHILL,9,4.31,4.53,5.5
2021Q3,THE VERVE,12,3.33,3.67,4.7
2021Q3,THE VIRIDIAN,12,4.35,4.36,4.36
2021Q3,THE VISION,5,3.18,3.41,3.65
2021Q3,THE WARREN,23,2.24,2.36,2.63
2021Q3,THE WATER EDGE,14,3.72,4.1,4.54
2021Q3,THE WATERINA,14,2.75,2.89,3.1
2021Q3,THE WATERSIDE,15,2.52,2.71,2.9
2021Q3,THE WHARF RESIDENCE,9,4.65,4.92,5.11
2021Q3,THOMSON 800,11,2.46,2.58,2.65
2021Q3,THOMSON EURO-ASIA,11,3.36,3.54,3.87
2021Q3,THOMSON GRAND,20,2.44,2.61,2.81
2021Q3,THOMSON IMPRESSIONS,20,3.9,4.21,4.59
2021Q3,THOMSON THREE,20,3.05,3.29,3.75
2021Q3,THOMSON V TWO,20,3.87,4.35,4.5
2021Q3,TIARA,9,3.05,3.52,3.81
2021Q3,TIONG BAHRU ESTATE,3,3.34,3.82,4.48
2021Q3,TRE RESIDENCES,14,4.01,4.56,5.24
2021Q3,TREASURE ON BALMORAL,10,3.71,3.87,3.94
2021Q3,TREE HOUSE,23,2.48,2.57,2.94
2021Q3,TRELLIS TOWERS,12,2.8,3.45,3.81
2021Q3,TRESALVEO,20,2.68,3.13,3.42
2021Q3,TREVISTA,12,3.12,3.36,3.58
2021Q3,TREVOSE PARK,11,2.54,2.81,2.99
2021Q3,TRIBECA,9,3.63,4.15,5.16
2021Q3,TRILIGHT,11,3.83,4.07,4.32
2021Q3,TROPIKA EAST,14,3.27,3.66,4.16
2021Q3,TWIN REGENCY,3,4.08,4.16,4.3
2021Q3,TWIN VEW,5,4.17,4.42,4.84
2021Q3,UE SQUARE,9,3.34,3.67,3.95
2021Q3,UP@ROBERTSON QUAY,9,5.17,5.78,6.48
2021Q3,URBAN SUITES,9,4.58,4.76,5.05
2021Q3,URBAN VISTA,16,3.4,3.82,4.19
2021Q3,URBANA,9,4.09,4.34,4.43
2021Q3,V ON SHENTON,1,4.74,5.28,5.89
2021Q3,VACANZA @ EAST,14,2.72,3.1,3.51
2021Q3,VALLEY PARK,10,3.12,3.25,3.37
2021Q3,VARSITY PARK CONDOMINIUM,5,2.94,3.28,3.55
2021Q3,VERSILIA ON HAIG,15,2.79,2.89,3.03
2021Q3,VIBES @ EAST COAST,15,3.69,4.21,4.62
2021Q3,VIDA,9,4.18,4.65,4.94
2021Q3,VILLA DELLE ROSE,10,2.5,2.67,2.85
2021Q3,VILLA MARINA,15,2.22,2.5,2.78
2021Q3,VILLAGE @ PASIR PANJANG,5,2.74,3.04,3.5
2021Q3,VISIONCREST,9,4.14,4.43,4.74
2021Q3,VISTA RESIDENCES,12,3.35,3.53,3.65
2021Q3,VIVA,11,4.28,4.68,5.15
2021Q3,VIVA VISTA,5,5.04,5.27,5.63
2021Q3,VIVACE,9,4.91,5.29,5.77
2021Q3,VIZ AT HOLLAND,10,3.83,3.95,4.62
2021Q3,VOLARI,10,3.72,3.91,4.19
2021Q3,VUE 8 RESIDENCE,18,2.89,3.09,3.37
2021Q3,WALLICH RESIDENCE,2,7.79,8.43,8.96
2021Q3,WATER PLACE,15,2.98,3.17,3.38
2021Q3,WATERBANK AT DAKOTA,14,3.86,4.21,4.65
2021Q3,WATERFALL GARDENS,10,3.17,3.64,3.95
2021Q3,WATERFORD RESIDENCE,9,3.91,3.98,4.19
2021Q3,WATERFRONT GOLD,16,2.96,3.12,3.37
2021Q3,WATERFRONT ISLE,16,2.77,3.06,3.41
2021Q3,WATERFRONT KEY,16,2.7,3.1,3.17
2021Q3,WATERFRONT WAVES,16,2.73,2.79,2.9
2021Q3,WATERMARK ROBERTSON QUAY,9,4.08,4.32,4.65
2021Q3,WATERSCAPE AT CAVENAGH,9,3.6,3.89,4.06
2021Q3,WATERTOWN,19,3.52,3.79,4.11
2021Q3,WATERVIEW,18,2.6,2.82,2.95
2021Q3,WATTEN ESTATE CONDOMINIUM,11,2.35,2.75,3.06
2021Q3,WEST BAY CONDOMINIUM,5,2.49,2.71,2.95
2021Q3,WESTCOVE CONDOMINIUM,5,2.46,2.63,2.76
2021Q3,WHITEHAVEN,5,4.06,4.26,4.54
2021Q3,WILKIE REGENCY,9,3.29,3.35,3.52
2021Q3,WING FONG MANSIONS/WING FONG COURT,14,2.28,2.53,2.99
2021Q3,WOODGROVE CONDOMINIUM,25,2.05,2.41,2.55
2021Q3,WOODHAVEN,25,2.79,3.06,3.32
2021Q3,YISHUN EMERALD,27,2.22,2.41,2.48
2021Q3,YONG AN PARK,9,2.77,3.08,3.23
2021Q3,ZEDGE,11,3.53,3.81,4.04
2021Q3,ZENITH,10,4.44,4.65,4.86
2021Q2,# 1 LOFT,14,3.15,3.57,3.64
2021Q2,# 1 SUITES,14,3.37,3.68,4.45
2021Q2,10 SHELFORD,11,3.42,4.32,4.92
2021Q2,18 WOODSVILLE,13,3.47,3.61,4.09
2021Q2,1919,9,4.21,4.65,4.87
2021Q2,21 ANDERSON,10,4.7,4.76,4.76
2021Q2,26 NEWTON,11,4.69,5.05,5.23
2021Q2,28 RC SUITES,8,4.4,4.89,4.89
