Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2023Q4,LEONIE CONDOTEL,9,4.18,4.31,4.39
2023Q4,LEONIE GARDENS,9,3.63,3.91,4.3
2023Q4,LEONIE HILL RESIDENCES,9,5.48,5.68,5.78
2023Q4,LINCOLN SUITES,11,5.64,6.64,7.2
2023Q4,LIV ON SOPHIA,9,6.5,7.29,8.37
2023Q4,LIVIA,18,3.54,3.7,3.9
2023Q4,LOFT @ NATHAN,10,6.69,6.97,7.57
2023Q4,LOTUS AT PAYA LEBAR (EAST WING),14,3.66,4.22,5.13
2023Q4,LOYANG VALLEY,17,1.96,2.36,2.68
2023Q4,LUMA,9,5.47,5.63,5.92
2023Q4,LUMIERE,2,6.12,6.24,6.5
2023Q4,MANDARIN GARDENS,15,3.34,3.53,4.24
2023Q4,MAPLE WOODS,21,4.04,4.43,4.55
2023Q4,MARGARET VILLE,3,6.54,6.99,7.54
2023Q4,MARINA BAY RESIDENCES,1,7.08,7.58,7.99
2023Q4,MARINA BAY SUITES,1,5.74,6.08,6.61
2023Q4,MARINA ONE RESIDENCES,1,6.6,6.9,7.43
2023Q4,MARINE BLUE,15,5.92,6.22,6.4
2023Q4,MARTIN MODERN,9,8.19,8.51,8.77
2023Q4,MARTIN PLACE RESIDENCES,9,5.81,6.7,6.97
2023Q4,MAYSPRINGS,23,3.26,3.59,4.26
2023Q4,MEADOWS @ PEIRCE,26,3.03,3.46,3.66
2023Q4,MELROSE PARK,10,4.59,4.67,5.09
2023Q4,MELVILLE PARK,18,3.34,3.63,3.77
2023Q4,MERAPRIME,3,5.39,5.98,6.38
2023Q4,MERAWOODS,23,2.79,3.26,3.37
2023Q4,MI CASA,23,3.23,3.31,3.41
2023Q4,MIDTOWN RESIDENCES,19,5.11,5.48,5.88
2023Q4,MIDWOOD,23,5.86,6.19,6.4
2023Q4,MILL POINT,10,5.44,5.6,6.36
2023Q4,MIRAGE TOWER,9,4.45,5.02,6.1
2023Q4,MIRO,11,4.21,4.46,4.61
2023Q4,MODENA,18,3.21,3.27,3.38
2023Q4,MONTEBLEU,11,4.94,5.26,5.72
2023Q4,MY MANHATTAN,18,4.49,4.7,5.36
2023Q4,NATURA@HILLVIEW,23,5.31,5.53,5.74
2023Q4,NEPTUNE COURT,15,2.84,3.12,3.39
2023Q4,NEWTON GEMS,11,4.8,4.99,5.54
2023Q4,NEWTON SUITES,11,5.74,5.9,6.28
2023Q4,NIN RESIDENCE,13,4.83,6.02,6.33
2023Q4,NINE RESIDENCES,27,4.25,4.4,5.01
2023Q4,NINETEEN SHELFORD ROAD,11,4.26,4.67,4.87
2023Q4,NORMANTON PARK,5,5.77,6.14,6.45
2023Q4,NORTH PARK RESIDENCES,27,5.37,5.72,6.39
2023Q4,NORTHVALE,23,3.14,3.4,3.61
2023Q4,NV RESIDENCES,18,3.91,4.2,4.62
2023Q4,NYON,15,6.11,6.24,7.59
2023Q4,OKIO,12,5.65,5.91,6.79
2023Q4,OLEANDER TOWERS,12,4.03,4.3,4.48
2023Q4,ONE AMBER,15,4.65,4.9,5.22
2023Q4,ONE DEVONSHIRE,9,5.97,6.74,6.95
2023Q4,ONE DUSUN RESIDENCES,12,6.0,6.38,6.68
2023Q4,ONE JERVOIS,10,4.64,5.04,5.15
2023Q4,ONE SHENTON,1,5.53,6.01,6.68
2023Q4,ONE-NORTH RESIDENCES,5,4.89,5.65,5.91
2023Q4,OPTIMA @ TANAH MERAH,16,4.21,4.36,4.76
2023Q4,ORCHARD SCOTTS,9,4.53,5.05,5.96
2023Q4,ORCHID PARK CONDOMINIUM,27,3.16,3.39,3.53
2023Q4,OUE TWIN PEAKS,9,7.5,8.06,8.58
2023Q4,PALM GARDENS,23,2.97,3.12,3.32
2023Q4,PALM ISLES,17,4.04,4.34,5.0
2023Q4,PALM SPRING,10,3.97,4.27,4.36
2023Q4,PANDAN VALLEY,21,2.63,2.95,3.24
2023Q4,PARC BOTANNIA,28,5.27,5.64,6.21
2023Q4,PARC CENTROS,19,3.99,4.74,5.07
2023Q4,PARC CLEMATIS,5,5.81,6.39,6.64
2023Q4,PARC EMILY,9,5.12,5.44,6.38
2023Q4,PARC ESTA,14,6.91,7.74,8.37
2023Q4,PARC IMPERIAL,5,7.06,7.38,7.72
2023Q4,PARC KOMO,17,4.98,5.17,5.39
2023Q4,PARC OASIS,22,3.66,3.82,4.04
2023Q4,PARC OLYMPIA,17,3.62,4.01,4.46
2023Q4,PARC PALAIS,21,3.37,3.54,3.63
2023Q4,PARC RIVIERA,5,5.66,6.2,6.65
2023Q4,PARC ROSEWOOD,25,5.14,5.63,5.81
2023Q4,PARC VERA,19,3.86,4.17,4.33
2023Q4,PARC VISTA,22,3.48,3.61,3.79
2023Q4,PARK COLONIAL,13,6.78,7.26,7.35
2023Q4,PARK INFINIA AT WEE NAM,11,5.38,5.78,6.39
2023Q4,PARK PLACE RESIDENCES AT PLQ,14,7.0,7.49,7.74
2023Q4,PARKSUITES,10,6.62,7.11,7.39
2023Q4,PARKVIEW APARTMENTS,23,3.04,3.27,3.54
2023Q4,PARVIS,10,5.37,5.84,6.15
